,Network 1,Network 2,Mean Coeff,σ Coeff
L_p32pr-L_FOP3,Cingulo-Opercular,Cingulo-Opercular,0.02,0.02
R_43-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.04
L_p32pr-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.02,0.03
R_FOP5-L_SCEF,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
L_p32pr-L_FOP4,Cingulo-Opercular,Cingulo-Opercular,0.01,0.01
R_IFSa-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.02
L_FOP4-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
R_PoI2-R_PFop,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
L_43-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
R_PEF-L_SCEF,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
R_PEF-L_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_46-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_6r-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.02
R_FOP3-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_46-R_MI,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.02
L_43-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.01,0.02
R_p32pr-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.02
R_PoI2-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_MI-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
L_p32pr-L_46,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_46-R_FOP3,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_46-R_FOP1,Cingulo-Opercular,Cingulo-Opercular,-0.01,0.01
R_6r-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.01,0.01
R_43-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_PFcm-R_PoI2,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
L_p32pr-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_PSL-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.02
R_MI-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_43-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_PFop-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_p24pr-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_PFop-R_PI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_6r-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_PSL-L_FOP4,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_FOP1-R_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_PFcm-R_FOP4,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
L_a24pr-L_PFcm,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_MI-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_PFop-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_46-R_FOP4,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
L_33pr-L_46,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_FOP3-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP1-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_PSL-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
L_p32pr-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_FOP5-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PoI2-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_IFSa-R_46,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_FOP4-L_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_FOP3-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP4-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_FOP5-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_MI-R_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_p32pr-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PFop-L_FOP4,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_p24-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_a24pr-L_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_p24-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_p24pr-L_46,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP5-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP4-L_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PF-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_MI-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP3-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6ma-R_FOP3,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP5-L_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_p32pr-L_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_33pr-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6ma-R_FOP4,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_6r-R_46,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PSL-R_FOP4,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP3-R_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6ma-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PFcm-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PEF-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_SCEF-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PFop-L_p24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_p32pr-L_a32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_p24pr-L_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_IFSa-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_FOP3-L_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6ma-R_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_MI-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.01
R_p32pr-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FEF-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_6r-L_33pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PSL-R_FOP3,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PEF-L_MI,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.01
R_PFcm-R_MI,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP4-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_IFSa-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6r-R_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP4-R_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_33pr-L_PFcm,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_a24pr-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PFop-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PFop-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PFcm-R_FOP1,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_43-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PEF-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6r-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_p24pr-L_46,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_6ma-R_PoI2,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PoI2-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PSL-R_FOP1,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP3-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PSL-R_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PFop-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PEF-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_6r-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_SCEF-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PFcm-R_PI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP5-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP4-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP3-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_43-L_33pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FEF-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_PFop-L_FOP5,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PEF-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP1-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_p24pr-L_MI,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PEF-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PFop-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_a24pr-L_PF,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_p32pr-L_a24pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_FOP4-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_p32pr-L_PFcm,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_a32pr-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
R_PSL-R_6r,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_MI-L_33pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_FOP5-L_PF,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PSL-R_PoI2,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_33pr-L_PFop,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_MI-L_PFop,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_PSL-R_MI,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
L_6ma-L_p32pr,Cingulo-Opercular,Cingulo-Opercular,-0.0,0.0
R_a32pr-L_FEF,Cingulo-Opercular,Cingulo-Opercular,0.0,0.0
L_23c-L_s32,Cingulo-Opercular,Default,-0.11,0.11
L_33pr-L_10r,Cingulo-Opercular,Default,-0.09,0.08
R_MI-R_STSda,Cingulo-Opercular,Default,0.08,0.07
L_a24pr-L_s32,Cingulo-Opercular,Default,-0.08,0.08
L_43-L_STSva,Cingulo-Opercular,Default,0.07,0.13
R_43-L_H,Cingulo-Opercular,Default,0.07,0.09
R_PFop-L_TE1a,Cingulo-Opercular,Default,-0.05,0.07
L_PFop-L_STSva,Cingulo-Opercular,Default,0.04,0.06
L_a24pr-L_PGi,Cingulo-Opercular,Default,0.04,0.06
R_MI-L_TE1m,Cingulo-Opercular,Default,0.04,0.06
R_PoI2-R_STSda,Cingulo-Opercular,Default,0.04,0.08
R_PoI2-R_STSvp,Cingulo-Opercular,Default,0.04,0.04
R_43-L_TE1m,Cingulo-Opercular,Default,0.04,0.04
L_43-L_TE1m,Cingulo-Opercular,Default,-0.04,0.04
R_PFop-L_STSva,Cingulo-Opercular,Default,-0.04,0.09
L_p32pr-L_47s,Cingulo-Opercular,Default,0.03,0.07
L_33pr-L_10d,Cingulo-Opercular,Default,-0.03,0.06
L_p24pr-L_s32,Cingulo-Opercular,Default,-0.03,0.04
L_p24pr-L_TE1a,Cingulo-Opercular,Default,0.03,0.07
L_PFcm-L_TGd,Cingulo-Opercular,Default,0.03,0.07
L_p24pr-L_47s,Cingulo-Opercular,Default,0.03,0.03
L_PFop-L_s32,Cingulo-Opercular,Default,-0.03,0.03
R_6r-L_TE1m,Cingulo-Opercular,Default,0.03,0.04
R_FOP4-L_s32,Cingulo-Opercular,Default,0.03,0.04
R_46-R_TGd,Cingulo-Opercular,Default,-0.03,0.04
R_IFSa-R_TE1a,Cingulo-Opercular,Default,0.03,0.04
L_p24pr-L_10d,Cingulo-Opercular,Default,-0.03,0.03
R_PFop-L_TE1m,Cingulo-Opercular,Default,0.02,0.04
L_p32pr-L_10r,Cingulo-Opercular,Default,-0.02,0.03
L_a24pr-L_8Ad,Cingulo-Opercular,Default,-0.02,0.05
L_PoI2-L_TE1a,Cingulo-Opercular,Default,0.02,0.06
R_FOP1-R_STSvp,Cingulo-Opercular,Default,0.02,0.04
L_FEF-L_s32,Cingulo-Opercular,Default,-0.02,0.03
L_PF-L_TE1m,Cingulo-Opercular,Default,-0.02,0.04
L_46-L_47s,Cingulo-Opercular,Default,-0.02,0.03
R_PFop-L_PHA2,Cingulo-Opercular,Default,0.02,0.03
R_6r-L_H,Cingulo-Opercular,Default,0.02,0.03
R_PF-L_TE1a,Cingulo-Opercular,Default,-0.02,0.02
L_FOP3-L_EC,Cingulo-Opercular,Default,0.02,0.05
L_p32pr-L_8BL,Cingulo-Opercular,Default,-0.02,0.03
L_p24pr-L_STSva,Cingulo-Opercular,Default,0.02,0.03
L_a24pr-L_10d,Cingulo-Opercular,Default,-0.02,0.02
R_PoI2-R_s32,Cingulo-Opercular,Default,-0.02,0.02
R_MI-L_s32,Cingulo-Opercular,Default,0.02,0.02
L_p32pr-L_s32,Cingulo-Opercular,Default,-0.01,0.01
R_PF-L_47l,Cingulo-Opercular,Default,0.01,0.04
R_43-L_s32,Cingulo-Opercular,Default,0.01,0.03
R_6r-L_PHA2,Cingulo-Opercular,Default,0.01,0.03
R_PFop-L_47s,Cingulo-Opercular,Default,-0.01,0.02
R_23c-L_47m,Cingulo-Opercular,Default,-0.01,0.02
L_a24pr-L_TE1a,Cingulo-Opercular,Default,0.01,0.02
L_SCEF-L_10v,Cingulo-Opercular,Default,-0.01,0.02
L_p32pr-L_47l,Cingulo-Opercular,Default,0.01,0.01
R_FOP4-R_PGi,Cingulo-Opercular,Default,-0.01,0.03
R_FOP4-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
L_p24pr-L_47m,Cingulo-Opercular,Default,0.01,0.01
L_p32pr-L_9a,Cingulo-Opercular,Default,-0.01,0.02
L_a24pr-L_47l,Cingulo-Opercular,Default,0.01,0.02
R_FOP3-L_s32,Cingulo-Opercular,Default,0.01,0.02
R_PFop-L_47l,Cingulo-Opercular,Default,-0.01,0.02
L_33pr-L_s32,Cingulo-Opercular,Default,-0.01,0.01
R_FOP3-R_STSda,Cingulo-Opercular,Default,0.01,0.01
R_43-L_25,Cingulo-Opercular,Default,0.01,0.01
R_PF-L_25,Cingulo-Opercular,Default,-0.01,0.03
L_33pr-L_PGs,Cingulo-Opercular,Default,-0.01,0.02
L_a24pr-L_PGs,Cingulo-Opercular,Default,0.01,0.02
R_PSL-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
R_MI-R_TE1a,Cingulo-Opercular,Default,0.01,0.02
L_43-L_TGd,Cingulo-Opercular,Default,0.01,0.01
L_p32pr-L_EC,Cingulo-Opercular,Default,-0.01,0.03
R_MI-R_TGd,Cingulo-Opercular,Default,0.01,0.01
L_FOP4-L_PGi,Cingulo-Opercular,Default,-0.01,0.01
L_33pr-L_9m,Cingulo-Opercular,Default,-0.01,0.01
R_PFcm-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
R_PoI2-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
R_FOP1-L_25,Cingulo-Opercular,Default,0.01,0.01
R_MI-R_STSvp,Cingulo-Opercular,Default,0.01,0.01
R_PFop-L_TGd,Cingulo-Opercular,Default,-0.01,0.01
R_PSL-R_47m,Cingulo-Opercular,Default,-0.01,0.02
R_PSL-L_TGd,Cingulo-Opercular,Default,-0.01,0.01
R_FOP5-L_s32,Cingulo-Opercular,Default,0.01,0.01
L_SCEF-L_s32,Cingulo-Opercular,Default,-0.01,0.01
R_PF-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
L_p24pr-L_8BL,Cingulo-Opercular,Default,-0.01,0.01
R_PSL-R_25,Cingulo-Opercular,Default,-0.01,0.01
R_FOP4-R_TE1a,Cingulo-Opercular,Default,0.01,0.01
L_p32pr-L_10d,Cingulo-Opercular,Default,-0.01,0.01
R_MI-L_25,Cingulo-Opercular,Default,0.01,0.01
L_SCEF-L_PGi,Cingulo-Opercular,Default,-0.01,0.01
L_p32pr-L_TGd,Cingulo-Opercular,Default,0.01,0.01
R_PEF-L_47s,Cingulo-Opercular,Default,-0.01,0.01
R_FOP1-L_TE1m,Cingulo-Opercular,Default,0.01,0.01
R_PFop-L_47m,Cingulo-Opercular,Default,-0.01,0.01
R_FOP4-L_PHA2,Cingulo-Opercular,Default,-0.01,0.02
R_PF-L_47s,Cingulo-Opercular,Default,0.01,0.02
R_PEF-L_TGd,Cingulo-Opercular,Default,-0.01,0.01
L_MI-L_STSvp,Cingulo-Opercular,Default,0.01,0.01
R_PSL-L_47s,Cingulo-Opercular,Default,-0.01,0.01
R_FOP5-L_25,Cingulo-Opercular,Default,-0.01,0.02
R_PFcm-L_TGd,Cingulo-Opercular,Default,-0.01,0.01
R_PFcm-L_47l,Cingulo-Opercular,Default,-0.01,0.01
L_p24pr-L_OFC,Cingulo-Opercular,Default,-0.0,0.01
R_FOP4-L_25,Cingulo-Opercular,Default,0.0,0.01
R_PoI2-L_s32,Cingulo-Opercular,Default,0.0,0.01
R_PFop-L_25,Cingulo-Opercular,Default,0.0,0.01
L_a24pr-L_9a,Cingulo-Opercular,Default,-0.0,0.01
R_46-R_47s,Cingulo-Opercular,Default,-0.0,0.0
L_5mv-L_s32,Cingulo-Opercular,Default,-0.0,0.01
R_MI-R_s32,Cingulo-Opercular,Default,-0.0,0.01
R_FOP1-L_s32,Cingulo-Opercular,Default,0.0,0.01
R_PoI2-R_25,Cingulo-Opercular,Default,-0.0,0.01
R_FOP5-L_PHA2,Cingulo-Opercular,Default,-0.0,0.01
R_MI-L_TGd,Cingulo-Opercular,Default,-0.0,0.01
R_PoI2-L_47s,Cingulo-Opercular,Default,-0.0,0.01
R_43-R_STSvp,Cingulo-Opercular,Default,0.0,0.0
R_FOP4-R_STSda,Cingulo-Opercular,Default,0.0,0.01
R_PSL-L_47m,Cingulo-Opercular,Default,-0.0,0.01
R_FOP3-L_47s,Cingulo-Opercular,Default,-0.0,0.01
R_MI-L_47s,Cingulo-Opercular,Default,-0.0,0.01
L_a24pr-L_31pd,Cingulo-Opercular,Default,0.0,0.0
R_FOP3-L_H,Cingulo-Opercular,Default,0.0,0.01
R_23c-L_47s,Cingulo-Opercular,Default,-0.0,0.01
R_IFSa-R_PGi,Cingulo-Opercular,Default,-0.0,0.01
R_FOP3-R_PGi,Cingulo-Opercular,Default,-0.0,0.01
R_PoI2-L_TE1a,Cingulo-Opercular,Default,-0.0,0.01
L_p32pr-L_STSva,Cingulo-Opercular,Default,0.0,0.01
L_PFop-L_31pd,Cingulo-Opercular,Default,0.0,0.01
R_PEF-L_47l,Cingulo-Opercular,Default,-0.0,0.01
R_PSL-R_STSda,Cingulo-Opercular,Default,0.0,0.01
R_6r-R_s32,Cingulo-Opercular,Default,-0.0,0.0
L_a24pr-L_47s,Cingulo-Opercular,Default,0.0,0.01
L_p32pr-L_47m,Cingulo-Opercular,Default,0.0,0.01
R_PFcm-L_25,Cingulo-Opercular,Default,-0.0,0.01
R_PoI2-L_47m,Cingulo-Opercular,Default,-0.0,0.0
R_FOP1-L_47m,Cingulo-Opercular,Default,-0.0,0.01
L_MI-L_PGi,Cingulo-Opercular,Default,-0.0,0.01
R_6r-L_s32,Cingulo-Opercular,Default,0.0,0.01
R_PFcm-L_47m,Cingulo-Opercular,Default,-0.0,0.01
R_43-R_STSda,Cingulo-Opercular,Default,0.0,0.01
R_FOP3-L_25,Cingulo-Opercular,Default,0.0,0.01
L_PFcm-L_s32,Cingulo-Opercular,Default,-0.0,0.01
L_33pr-L_TE1a,Cingulo-Opercular,Default,0.0,0.01
R_PSL-L_47l,Cingulo-Opercular,Default,-0.0,0.01
R_PoI2-L_TGd,Cingulo-Opercular,Default,-0.0,0.01
R_FOP5-R_STSva,Cingulo-Opercular,Default,-0.0,0.01
L_p24pr-L_PGs,Cingulo-Opercular,Default,-0.0,0.01
R_FOP4-R_s32,Cingulo-Opercular,Default,-0.0,0.0
R_FOP1-R_s32,Cingulo-Opercular,Default,-0.0,0.0
R_6r-L_47s,Cingulo-Opercular,Default,-0.0,0.0
R_PF-L_47m,Cingulo-Opercular,Default,-0.0,0.01
L_PFcm-L_TE1m,Cingulo-Opercular,Default,-0.0,0.01
R_FOP5-L_TE1m,Cingulo-Opercular,Default,0.0,0.0
R_PSL-L_OFC,Cingulo-Opercular,Default,0.0,0.0
R_43-L_47m,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-L_25,Cingulo-Opercular,Default,0.0,0.01
L_p32pr-L_25,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-L_s32,Cingulo-Opercular,Default,0.0,0.0
L_p32pr-L_31pd,Cingulo-Opercular,Default,0.0,0.0
L_43-L_s32,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-R_p32,Cingulo-Opercular,Default,-0.0,0.0
R_FOP5-L_47s,Cingulo-Opercular,Default,-0.0,0.0
R_6ma-L_s32,Cingulo-Opercular,Default,-0.0,0.01
R_FOP4-L_47s,Cingulo-Opercular,Default,0.0,0.01
R_PFcm-L_s32,Cingulo-Opercular,Default,-0.0,0.0
R_43-L_TGd,Cingulo-Opercular,Default,-0.0,0.01
R_6ma-L_PGs,Cingulo-Opercular,Default,-0.0,0.0
L_p24pr-L_PGi,Cingulo-Opercular,Default,-0.0,0.0
R_PFop-L_s32,Cingulo-Opercular,Default,0.0,0.0
R_FOP1-R_PGi,Cingulo-Opercular,Default,-0.0,0.0
L_43-L_25,Cingulo-Opercular,Default,-0.0,0.01
L_PFop-L_25,Cingulo-Opercular,Default,-0.0,0.0
R_FOP1-L_47s,Cingulo-Opercular,Default,-0.0,0.0
L_46-L_PHA2,Cingulo-Opercular,Default,0.0,0.0
